i,type,db,fe,scaler,result,acc,f1,model,file,index
42,a_posteriori,prote,isomap,unscaled,0.5763888888888888,0.4375,0.4444444444444444,"RandomForest | {'criterion': 'entropy', 'n_estimators': 1, 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1}",a_posteriori_prote_isomap_unscaled_0.csv,0
43,a_posteriori,prote,isomap,unscaled,0.5729166666666666,0.5,0.4222222222222222,"LRegression | {'penalty': 'l1', 'C': 1.0, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 150}",a_posteriori_prote_isomap_unscaled_1.csv,1
44,a_posteriori,prote,isomap,unscaled,0.5451388888888888,0.25,0.20454545454545459,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_isomap_unscaled_2.csv,2
45,a_posteriori,prote,isomap,yeo_johnson_transformation,0.48958333333333337,0.25,0.19166666666666665,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_isomap_yeo_johnson_transformation_0.csv,0
46,a_posteriori,prote,isomap,yeo_johnson_transformation,0.5138888888888888,0.375,0.34949494949494947,"RandomForest | {'criterion': 'gini', 'n_estimators': 1, 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 3}",a_posteriori_prote_isomap_yeo_johnson_transformation_1.csv,1
47,a_posteriori,prote,isomap,yeo_johnson_transformation,0.5173611111111112,0.375,0.25,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(32, 64)', 'max_iter': 150, 'learning_rate_init': 1e-07, 'solver': 'adam'}",a_posteriori_prote_isomap_yeo_johnson_transformation_2.csv,2
48,a_posteriori,prote,pca,min_max_scaling,0.4895833333333333,0.375,0.3677156177156177,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_pca_min_max_scaling_0.csv,0
49,a_posteriori,prote,pca,min_max_scaling,0.5416666666666667,0.4375,0.3216374269005848,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(16, 16, 16, 8)', 'max_iter': 350, 'learning_rate_init': 1e-07, 'solver': 'adam'}",a_posteriori_prote_pca_min_max_scaling_1.csv,1
50,a_posteriori,prote,pca,min_max_scaling,0.5451388888888888,0.25,0.19907407407407407,"RandomForest | {'criterion': 'gini', 'n_estimators': 50, 'max_depth': 9, 'min_samples_split': 0.5, 'min_samples_leaf': 1}",a_posteriori_prote_pca_min_max_scaling_2.csv,2
51,a_posteriori,prote,pca,standard_scaling,0.5381944444444444,0.3125,0.2977855477855477,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 150, 'learning_rate_init': 0.0001, 'solver': 'adam'}",a_posteriori_prote_pca_standard_scaling_0.csv,0
