111-0006-01,-37896.66932228047,-18697.14169938635,20025.693954861727,2242.1204796597317,-35144.6933963796,9126.81750729895,10823.470800009338,23636.51016324549,-5280.460975266274,1
111-0007-01,-16977.232333384076,-91921.176407776,-16455.72233035102,-28254.962737877544,-58552.724366150775,16327.6040637077,42159.59278658865,32467.194799298635,-36549.909880598694,1
111-0014-01,-24981.48007717516,-3376.6995914724102,1526.017627727639,33495.20383871605,22914.12606061793,7071.5984705094315,-29384.069359710807,-14340.54310171836,-22542.445180292263,1
111-0018-03,-24091.39880666678,42656.20741934449,-47713.23578437239,-39142.289159960346,20522.106495332984,27403.64382412072,5572.69726444477,-4126.534338915482,57457.343967205765,1
111-0022-01,-31373.512165486987,33829.53422545167,470.82998947118216,11046.279239027062,-37187.7773404703,-454.5050929964666,-4467.871642570427,13567.857910234157,-7474.802842275505,1
111-0025-01,-23821.997040272396,25482.918465335064,-21295.411892266322,-9086.01664472766,97488.79751515745,28950.349030628564,-16549.85224470124,30919.324662104398,4437.649130630953,1
111-0026-01,160696.3350018001,-85436.84942703442,-95276.72502348253,71577.80495534003,-23170.7756396547,-18091.81023305037,-14403.24413443468,-4336.4367818867295,13442.67626340798,1
111-0035-01,132379.56559543824,62935.46229415939,28136.926307715312,21874.019865756243,17796.091322555014,109122.93668631569,54241.51206888109,-22746.954247743884,-29118.296241198244,1
111-0044-01,-22892.883200680637,-81947.58039805361,6657.718042829943,-26061.46348464964,-13950.095357322338,-1120.0001196941041,13671.073868387391,9651.268478394784,3842.961364959573,0
111-049-01,89713.41648081585,-8910.903714192556,-109423.84178367168,7132.1443393511245,20185.68576146623,-14173.07812732599,-46754.49444463276,22161.706131968724,-9691.710549067533,2
126-0005-01,-46484.65801086892,16526.364964597986,-11901.573904009967,-63576.927484022526,16003.271081497478,6658.539202805784,-45518.405156604305,-3666.9143786457284,4476.105458074313,0
126-0017-02,-33095.9476158107,-52489.623761350726,-11012.446458468425,-21880.738617942432,16013.046621891408,-43021.20674508459,20465.572484549702,-45756.41451502741,-38510.98632897608,1
77-0155-01,-43880.80464313454,-83446.59236132907,86816.21271545727,55346.60344277173,7247.258180942798,7795.79371404969,-26609.566948121566,-27784.873259819593,17917.68931779209,0
126-0029-02,-26511.021469945983,-86695.44166951763,83165.43379713953,49329.00122375155,4074.9433677970837,16762.51631195114,-36585.923443768435,-11585.736688465626,25897.720151555157,2
126-0044-01,-27890.75399435821,52756.6200828659,5818.909264862416,32078.708141379895,50282.620239863725,-40020.115966966805,-2591.2679510813223,10750.64926955793,-40313.726951821016,1
126-0047-01,-42101.32360891918,-3905.947759787334,-21291.146525836586,-2508.1513590611285,42306.60027409674,-33361.03782583701,76032.63786128444,-29374.05028308028,34657.46987167029,1
126-0047-02,-49690.139493844574,622.463168988347,36904.7849345242,28214.14924467004,18364.937131941326,2479.6965014510133,-8620.29428668555,45282.43571640926,-18880.411001854787,1
126-0048-01,217978.39898056953,31190.47046790846,121021.57713587623,-69786.5815852243,6132.578517419358,-57616.65852039344,-3078.1669616027602,12851.189267227459,10887.301580885136,0
