Sample Id,P40763,P84022,P05113,P04792,Q16665,Q9BQB4,Q8N6Q3,O95445,P01566,P52799,P27930,Q9HBX9,Q8WWG1,Q7L7L0,P01579,Q9NZH7,P05161,P62258,P08758,P05164,P00533...197,O76093,P22362,P05112,P18031,P08697,P04275,O60383,P01871,P49763,Q9BZM6,P01730,P15848,Q8NCW0,P07093,P00736,P09326,P00519,Q96GD4,Q9UQM7,P24941 P20248,P20231,P21815,Q8IU85,Q8N1Q1,P32971,P12544,"P56199, P05556",P10600,Q9Y5S2,Q02763,P19022,P07451,Q99665,Q04759,Q06830,P60900,O95243,P63208,P61812,O60506,P25787,P54920,P35247,P07951,P05155,Q96PQ0,P01374,P22079,P29317,P80098,P01189...947,P01275,P04083,P40121,P46108,P24071,Q16772,P15428,P50281,Q15181,Q12884,Q08945,O76083,P68400 P67870,Q02241,P45984,Q14432,Q99829,Q92956,Q5KU26,P08238,P46734,Q00872,P67936,P18509...1271,P01241,Q01973,P08514 P05106,P17181,Q9UBX1,Target
126-0048-01,1221.1,6328.5,6596.8,5609.7,8478.4,4578.8,3528.3,306.9,103.7,795.2,2684.4,8160.7,744.3,1996.8,160.9,618.1,683.6,618.4,1419.1,558.4,588.1,1907.8,1643.7,242.1,142.0,1753.3,601.8,1737.0,376.1,2491.3,181.1,504.1,2893.6,1772.5,1459.6,288.0,3007.0,1818.6,942.8,845.6,503.7,196.2,1818.5,2840.9,1200.9,343.3,4976.7,229.5,789.9,3173.3,1528.9,807.8,265.6,1139.0,1378.9,6949.5,394.0,520.7,2620.5,361.5,1242.9,26593.7,3110.9,1757.9,3063.1,826.2,1552.6,29686.8,482.9,594.3,98.6,1198.8,363.4,1601.4,58339.3,2293.4,692.2,112.6,2421.6,259.8,28814.4,9358.4,409.9,488.7,5352.4,1101.0,3217.7,397.0,201.2,1900.1,2151.2,402.2,731.8,2540.8,83.3,17893.2,511.8,5888.0,1643.7,2492.5,1470.9,0
126-0050-02,576.6,4531.6,8593.8,6306.6,638.5,6584.4,4006.5,382.6,108.2,971.1,3981.1,10313.1,1093.9,2213.5,188.2,786.2,818.7,658.3,1593.2,411.9,267.0,6640.8,1805.6,285.8,166.8,1675.5,682.3,1271.4,570.8,6450.1,324.7,407.4,3183.6,996.5,1637.7,318.7,3164.7,1941.9,1728.0,1576.7,621.4,233.1,2495.4,5123.0,1299.4,119.2,3049.3,702.1,1391.7,4024.9,1998.4,503.2,280.0,1989.5,2270.9,601.6,219.7,181.2,3651.3,444.9,2321.9,826.9,2247.8,2205.5,504.2,1076.7,1078.2,532.1,387.3,872.3,94.8,1644.4,736.7,1490.2,1021.3,2420.0,488.5,123.0,2393.5,287.6,1681.9,6968.2,395.3,702.3,5273.4,1939.8,3321.5,437.9,174.1,2248.1,2745.0,524.7,774.9,5008.4,89.7,3278.2,565.9,5478.8,588.1,1336.2,1720.8,2
126-0051-02,759.3,2371.2,977.7,3681.4,743.4,16613.0,4337.4,324.8,134.3,869.7,3395.3,8383.7,820.3,2777.5,231.2,759.0,526.6,416.9,1449.8,677.4,295.3,2481.9,2246.0,706.1,29292.9,766.7,973.1,2432.5,554.1,2451.0,171.5,543.5,3491.6,906.4,1402.4,304.5,5828.1,2520.1,1518.4,1167.8,683.8,165.0,1828.3,3737.6,1721.9,136.0,2576.2,4998.1,1899.2,2446.2,1279.9,1489.2,384.7,1330.8,1724.2,5189.2,547.2,2887.7,2230.3,2602.4,1558.9,1121.9,1454.8,2619.3,3700.5,2157.8,2956.8,911.4,452.2,2057.2,96.2,701.0,282.7,1889.1,2039.0,4734.7,511.4,169.3,2608.1,312.0,1362.3,3227.5,592.4,434.6,142.9,2573.2,2381.5,399.7,220.2,2694.3,1416.0,440.8,927.0,1144.3,130.9,2446.1,439.9,2320.9,1334.8,4386.0,7449.2,1
126-0065-01,811.9,2451.7,2074.7,19564.1,929.0,4881.8,6224.0,404.6,206.6,2296.9,2282.7,6241.9,1179.0,2685.2,11964.2,1632.8,1042.5,632.9,3661.2,1245.9,462.8,5363.9,161.4,279.8,217.2,1212.2,514.1,2164.4,585.4,2701.7,219.9,415.4,4593.4,989.1,1824.0,312.7,3377.6,1767.9,1018.9,1111.2,913.1,172.4,1760.4,3430.2,1588.5,133.2,2235.8,3345.2,3363.1,3362.7,13488.4,1077.1,413.9,2021.6,1483.4,642.1,272.7,351.4,2429.2,413.4,1435.3,1660.7,2011.5,1958.8,491.9,1273.7,3305.0,1446.2,1047.3,1205.1,132.6,2467.2,304.2,2126.2,3536.3,2194.0,592.0,141.3,4175.9,318.1,2232.7,3041.3,641.5,589.3,198.0,2919.0,2719.0,634.7,309.7,5286.7,4249.4,510.4,1084.5,882.6,234.8,3503.7,326.0,3818.8,1441.3,1235.2,2830.4,0
126-0065-02,659.4,3672.5,2023.6,7862.4,759.1,4548.3,5098.4,382.1,193.4,2252.4,2277.0,9249.0,919.0,1835.1,10590.4,1609.5,1155.4,597.8,2788.9,1353.9,417.1,1174.4,384.8,268.3,208.6,1273.2,460.9,1931.0,630.9,3429.1,218.4,387.9,4248.6,1419.4,2656.5,307.5,3283.7,3174.7,1467.2,1615.0,656.3,151.8,3149.5,5113.5,1597.1,143.5,3380.4,2322.6,4921.0,2870.8,13786.3,1076.3,337.9,2601.2,2161.4,804.2,281.7,326.4,3875.7,2428.7,2413.2,1771.3,3051.4,2384.6,610.3,1614.2,1476.9,860.6,2098.6,1539.1,127.0,521.8,1012.9,1843.2,2617.1,4638.6,563.0,137.7,4228.7,307.1,2179.2,3091.1,610.5,1002.6,191.6,2716.7,4249.5,586.5,474.2,3974.5,1275.4,456.6,920.9,341.6,248.7,3086.3,304.2,2043.0,1952.4,1264.7,4601.2,2
126-0067-01,565.9,2057.1,1074.1,2905.2,589.5,4400.0,7082.0,11190.6,109.8,972.7,3701.6,8931.3,998.9,2036.3,224.0,2220.4,926.3,1189.2,1599.5,1033.8,539.3,4696.3,2276.8,280.8,24843.7,548.7,1368.2,1441.3,594.2,2869.9,141.9,446.0,2682.4,956.3,1490.0,324.9,2530.3,1847.8,1281.1,960.1,596.9,186.1,2105.6,3220.3,1499.7,120.7,2211.1,1683.4,2408.3,3913.6,1742.8,996.5,433.9,1405.6,2323.3,460.6,211.1,589.9,1874.6,2212.9,1473.6,724.5,1263.6,2227.4,500.6,1761.2,2610.1,486.9,702.9,1709.4,108.1,703.0,609.6,1669.8,782.2,4441.2,742.1,114.5,2282.8,300.8,1211.8,3058.2,488.3,559.3,159.2,1741.4,2561.3,495.1,179.0,2405.4,1789.9,12774.8,979.1,5852.4,173.1,2135.8,512.9,3232.7,629.4,2519.7,1757.9,1
126-0068-01,487.0,4713.2,1278.1,1424.8,922.5,5339.2,2731.4,225.4,127.8,833.8,2476.9,7689.1,863.8,1458.6,232.2,779.9,11798.8,445.1,2381.0,703.7,278.6,5064.7,284.8,554.0,177.3,1180.0,600.4,3736.0,483.0,2098.1,160.5,9087.1,4810.1,882.4,1356.4,269.3,3151.4,1735.3,1818.3,2106.7,585.7,109.1,3670.5,5751.3,1323.2,142.9,3490.0,1434.9,1198.4,2885.5,1647.9,1898.9,357.9,1689.2,2639.8,1357.9,258.1,480.9,4630.5,3985.0,2948.9,2343.7,3524.1,2576.1,5274.6,1180.8,2309.4,1557.6,557.5,5323.9,125.3,556.3,302.1,1328.1,5154.6,4601.6,422.8,130.5,2253.9,264.5,2688.2,2699.1,432.6,1313.0,190.6,899.8,5079.9,395.3,180.9,1985.6,1757.7,445.3,690.6,1243.0,217.8,3087.1,480.6,916.0,857.2,2612.2,2152.6,1
126-0069-02,536.3,3398.3,846.3,1761.7,1361.4,8741.5,4960.0,455.6,93.6,979.8,1766.7,6633.6,1098.0,3231.8,201.4,873.3,957.4,495.3,1492.5,826.6,9383.3,3503.5,1198.9,360.5,18273.8,665.0,985.1,2669.5,519.8,1801.4,179.6,467.5,3019.6,2251.1,1632.4,326.1,2781.5,2001.5,1453.6,1226.6,644.8,139.8,2460.0,3222.0,1324.4,149.8,2785.0,1462.9,2389.7,2776.4,1378.1,1387.6,372.9,1352.0,1757.6,1923.3,263.2,1480.0,2600.9,1033.9,1842.6,2871.3,1927.8,3176.1,8443.0,1862.8,2247.5,3879.8,1157.6,1137.7,123.6,1620.8,515.2,1835.2,8840.7,2844.6,650.0,131.4,2605.5,317.6,3506.3,2687.8,542.2,683.3,203.0,2311.1,2522.4,440.3,184.5,3061.9,1306.3,400.4,862.9,1340.2,172.8,4360.3,493.0,2329.0,1078.5,1633.5,10474.7,1
126-0072-01,661.7,1949.7,1800.6,9244.1,811.1,5115.3,4869.6,345.8,142.2,982.7,2946.7,10810.7,2069.9,3008.8,209.7,739.0,863.3,742.6,3492.1,673.9,269.8,5514.4,6229.5,280.8,320.7,1162.9,736.7,4642.1,704.1,2721.8,157.9,358.9,5457.4,875.2,2387.2,296.1,5911.6,1901.1,1094.8,1177.0,588.3,131.8,1314.0,3537.3,1582.8,118.2,2132.4,2483.1,3004.7,3617.9,1811.5,2190.0,925.7,1616.5,1356.3,1798.2,294.8,160.5,1619.2,4861.4,1137.7,1275.6,1226.7,1956.4,732.0,323.7,2468.4,1756.1,528.6,1231.1,119.7,1109.4,217.8,2679.7,2996.3,5401.3,479.4,5023.2,2110.0,243.5,2113.2,4873.8,616.1,432.8,184.1,1677.7,1857.5,438.5,187.7,2356.2,1360.7,418.4,802.1,2049.6,418.4,3055.6,384.2,1462.2,952.4,2234.2,2824.9,1
126-0072-02,597.3,4217.3,2307.6,1322.6,865.9,4971.2,5059.5,343.4,241.4,793.2,3554.8,8523.1,1041.6,1367.7,1229.5,607.6,910.1,731.1,2789.3,2151.3,639.4,3425.4,600.0,565.5,225.6,2053.7,799.8,2681.0,1137.7,2383.2,1736.4,356.4,3311.4,978.2,2087.4,269.1,3940.4,5643.0,1569.4,1795.4,549.5,90.8,3277.2,5760.0,1636.7,135.9,3366.2,3255.1,1787.8,2554.4,1562.0,1615.0,753.7,1991.5,2424.9,3249.5,272.3,269.1,2742.3,449.9,2530.3,1460.9,2285.2,2049.2,599.5,2163.6,1828.3,920.1,761.7,1115.2,2187.6,1426.4,300.3,1679.6,2529.1,2347.5,640.0,210.3,2910.8,2693.4,2364.0,2278.3,2692.9,788.2,602.8,1987.3,3910.2,347.6,795.7,2663.1,1702.4,398.7,1009.1,1719.3,813.3,3630.5,427.1,5610.9,1147.5,3611.4,11444.1,2
126-0074-02,597.6,3863.4,1858.1,1353.4,1185.1,4748.3,5372.8,246.2,95.1,864.7,3434.4,5630.5,1067.3,3788.8,375.1,2225.9,681.6,510.0,2024.2,1162.0,850.5,9820.2,558.1,417.7,217.4,1006.5,549.2,2570.1,4051.3,2457.1,1066.0,413.5,3320.2,8827.1,1692.3,333.7,3922.1,2751.7,1362.6,1842.8,704.1,100.5,3642.1,5755.0,1771.4,162.9,2932.7,3170.8,1949.8,3008.6,1316.8,1125.4,266.4,1762.2,1780.4,4877.4,262.3,163.8,2670.8,647.0,2760.0,2614.7,2220.4,2063.0,718.6,4676.6,1921.2,2166.6,712.5,1155.9,5244.5,1275.4,700.7,1907.2,6839.4,2580.9,1224.3,126.7,3079.6,350.9,3049.5,2107.8,1092.9,546.8,552.1,1721.2,3892.6,413.2,210.0,2549.3,1692.6,415.8,969.9,865.3,106.6,5444.2,384.0,5099.8,823.2,3731.0,3422.9,0
126-0075-01,820.5,2845.9,690.4,1542.4,3470.3,5526.8,2297.1,289.3,91.2,3754.5,1115.4,7470.7,1921.5,7025.4,148.4,1348.8,596.0,428.7,1066.5,781.4,1166.6,4115.2,642.0,10828.3,157.1,738.0,833.0,2310.8,450.2,2224.7,205.5,306.2,6335.9,1271.0,1464.7,234.2,2636.1,1488.1,922.2,1243.3,415.3,127.5,4310.0,5073.1,7929.7,4613.4,4860.6,3146.8,1484.6,3275.5,1776.1,641.2,348.8,1893.0,1895.0,11651.5,307.1,320.9,2850.9,2625.9,2817.6,13329.8,2908.0,2207.7,1371.0,1702.4,1864.7,10374.1,516.4,1401.1,90.9,482.9,279.5,2204.7,20085.6,3717.3,764.6,160.0,2353.6,1396.1,8697.0,3621.3,254.1,1094.3,678.6,3967.3,4065.8,488.8,81.6,3089.3,2360.0,1040.2,645.6,937.7,264.4,8957.1,268.6,1399.8,792.8,4567.3,1303.9,0
126-0077-02,617.2,1650.1,882.0,1128.4,712.9,6490.7,3981.4,350.0,131.6,3215.9,2630.8,8865.9,1401.4,1346.3,206.1,615.2,788.0,712.3,1270.4,1958.0,851.0,3546.5,441.0,11806.0,179.3,1148.8,911.9,2507.3,619.5,1992.1,295.1,462.5,4891.0,720.7,1718.2,263.6,2951.9,2169.5,1007.8,862.8,482.3,139.8,1779.8,4146.6,11387.2,6493.1,2108.1,2858.7,2022.6,3826.4,1921.3,749.4,413.3,1085.3,1302.8,1955.1,208.8,218.0,1491.7,2619.4,1208.1,1448.6,1219.0,2718.2,577.2,6748.5,1664.8,875.8,644.7,959.4,124.6,1161.1,273.3,1467.0,1898.7,4355.9,746.2,229.6,1823.0,1350.0,1441.3,4017.8,451.2,562.8,476.6,1246.0,1637.0,391.0,193.0,1836.2,2481.4,1111.5,755.5,1571.1,287.1,2543.8,442.1,3323.8,826.2,4126.3,1962.1,2
126-0078-01,529.8,4577.2,801.4,13763.1,705.7,5293.3,4435.6,533.9,99.3,950.1,1804.0,7795.0,758.9,13107.5,190.2,1062.0,971.2,479.9,1525.1,1575.6,272.5,10667.6,522.2,294.4,17538.6,513.6,1256.4,2423.6,460.7,2238.2,164.3,391.6,9259.4,999.5,1473.9,281.0,2589.4,2061.3,2154.7,2024.3,703.9,228.1,4385.2,6350.9,1296.5,135.4,2787.0,5789.5,3347.3,3451.3,1308.1,1405.1,506.0,3007.1,1915.3,716.7,254.8,214.6,3633.7,484.9,3201.1,1466.7,2995.5,1710.7,530.9,1309.4,1167.3,822.1,430.5,843.2,268.0,1905.1,353.6,1911.9,1139.0,3057.7,1407.7,254.8,3906.9,279.9,5046.8,2489.8,544.6,964.2,2068.4,1648.5,5781.9,501.5,196.6,1915.0,2107.9,416.7,11961.9,997.2,334.7,3245.2,497.8,3656.4,736.3,2114.6,2456.3,0
77-0095-01,2561.5,2918.1,1625.8,9202.2,692.3,5407.2,5477.2,423.2,106.2,968.6,3860.4,9020.2,1320.2,3862.9,1026.4,1208.9,654.2,690.6,3248.4,444.9,322.2,3043.3,789.4,278.9,26264.6,3064.3,635.3,2175.7,539.6,1794.1,166.1,370.9,2700.1,5973.2,2223.6,323.7,3222.9,3257.7,1692.8,1566.3,671.6,182.3,3137.3,5109.0,1359.2,140.2,3311.3,2071.9,4139.2,2194.7,1816.7,885.8,393.0,1970.7,2583.6,1222.6,241.2,329.6,3222.7,477.8,2481.5,1028.3,2388.7,2608.7,617.6,1230.9,817.1,762.3,497.3,1134.0,171.4,649.1,376.1,1950.1,1387.5,2097.1,863.7,187.6,2330.3,587.3,1847.4,3017.5,485.7,786.9,159.4,3122.5,3452.0,405.7,174.7,2792.5,946.4,378.4,921.1,1345.6,178.2,2497.8,387.3,3895.1,832.5,3281.9,43142.5,0
77-0095-10,2151.3,4768.8,1528.7,5960.7,1174.6,4626.1,7231.4,279.7,113.6,941.3,5099.4,8190.1,1007.7,1693.6,649.7,718.6,767.3,807.5,3368.6,984.1,333.8,2840.3,381.0,285.5,24036.0,2506.6,564.8,2563.0,500.4,2109.1,152.5,327.7,2311.4,837.9,2046.4,260.3,2925.9,1977.1,2060.1,2647.6,515.6,97.4,5150.4,8329.4,1382.6,142.3,3790.4,1562.5,3331.0,2179.4,1768.9,874.9,353.9,2521.5,2886.5,2145.5,245.9,377.3,4423.4,878.6,4054.5,1706.9,3459.9,2572.4,920.9,2446.6,671.7,2068.3,741.8,778.8,140.0,922.1,413.1,2878.4,3999.0,2808.7,686.5,173.8,2698.6,480.8,2094.3,3699.3,482.7,948.7,173.2,6531.1,6185.5,443.6,170.1,2070.7,1015.0,388.5,927.0,713.0,174.3,3947.4,398.6,1702.8,1167.7,536.4,4712.5,2
77-0097-01,812.2,2559.0,1044.5,2192.9,750.4,3302.7,5872.0,430.4,178.8,854.9,3683.3,7389.3,1364.4,3718.2,199.7,2345.6,695.5,666.2,1780.0,1220.2,295.0,1099.5,3326.4,268.7,12945.2,3562.6,614.3,2851.0,462.7,1816.3,160.5,444.7,3138.1,1405.3,1451.6,301.1,4670.9,1519.9,1527.9,1015.3,642.0,223.6,2667.3,3521.8,1071.1,125.0,3723.1,1807.8,2726.4,2912.0,1586.7,1043.6,363.1,1746.5,2473.8,4686.9,213.7,264.5,3059.3,791.8,2272.0,1841.9,2129.2,3026.8,570.4,1453.5,690.0,612.1,1265.3,1393.9,96.2,445.7,323.1,1505.4,5171.6,2661.5,683.2,137.1,2036.9,265.0,4455.7,2605.3,569.7,830.9,242.8,2446.0,3655.4,668.7,230.8,2260.1,1324.3,903.0,892.6,3802.5,141.9,3124.5,514.3,2393.5,773.3,3266.2,1090.7,0
77-0121-02,550.0,4962.6,1274.5,4830.5,1026.0,4790.0,5335.1,257.1,133.8,707.0,3047.5,6396.6,1831.3,6830.7,268.3,445.6,696.4,560.7,1865.1,1075.0,331.7,2266.7,645.0,245.5,193.3,55823.6,843.8,2370.9,503.0,1847.2,180.3,501.8,3040.3,1193.6,1312.1,247.9,4634.1,1949.3,1651.4,1736.5,461.5,92.9,3603.5,5541.2,1390.1,128.1,3628.7,3267.8,1420.6,3472.8,1640.0,937.3,412.2,2413.0,2718.1,1054.4,215.6,182.5,3461.5,432.4,3211.6,2666.8,3212.9,2124.1,626.1,951.1,1368.1,1429.3,812.3,1602.1,105.8,911.2,225.1,2053.2,7085.9,2525.3,992.8,285.6,3151.2,344.4,3709.4,5583.3,1081.0,1395.5,206.8,1921.0,4874.2,387.3,147.5,4386.9,757.8,415.3,825.7,2850.1,619.7,5840.8,460.6,3123.8,699.8,2197.7,1701.6,0
77-0121-03,601.0,5684.5,1227.6,4816.0,877.4,5125.4,4998.3,259.9,124.2,659.4,3152.8,6297.1,1612.2,4954.7,274.9,301.6,625.2,1069.7,1847.0,1574.8,270.1,2269.2,3053.5,252.7,184.6,55097.6,1100.2,2474.7,498.2,1663.9,449.5,570.9,4802.2,776.9,1106.2,269.3,5027.2,2544.4,1949.8,1708.7,482.9,104.8,3880.1,5506.3,1474.0,128.3,3884.3,1550.0,1529.5,3214.1,1563.2,791.9,423.8,2727.2,3060.8,872.6,223.3,189.3,3537.5,816.8,3523.9,1974.1,3384.3,2000.0,759.3,682.0,1821.7,1180.6,849.5,1021.8,290.3,1333.1,191.0,1871.9,4330.1,3019.3,782.0,265.0,3353.1,297.6,3892.0,4682.1,1112.8,1688.4,243.7,1927.4,5187.9,388.1,157.6,3272.6,986.5,406.8,798.5,1470.4,252.2,4476.4,488.0,3042.7,721.0,2363.1,2187.6,2
77-0231-01,617.6,2698.4,689.5,6510.9,645.6,7973.2,4533.3,238.9,121.3,1098.0,5295.0,6636.7,1006.9,1411.9,219.6,345.4,855.8,951.4,2464.3,739.0,422.5,2468.9,312.3,243.8,29622.1,6355.6,803.2,4383.2,531.3,2067.9,162.0,517.3,3722.6,753.1,1426.6,287.4,5048.3,1672.4,1226.4,1408.1,536.2,132.0,2838.5,4494.5,1259.7,112.4,2155.8,1554.1,2071.0,3454.2,1811.2,2025.7,374.8,1472.7,3159.9,1015.3,333.1,187.1,2398.8,1792.5,1863.7,1003.7,8043.5,2694.9,511.4,550.5,610.1,907.0,3619.0,1188.0,107.4,846.9,196.3,1820.2,1890.4,3461.5,466.0,6438.4,3448.4,254.1,1313.5,2570.7,3694.8,532.3,395.2,981.6,3404.7,399.8,172.2,1645.6,1091.1,383.9,907.1,2099.9,198.7,2306.3,500.8,2374.2,620.3,2685.8,1407.3,0
77-0231-06,632.7,4439.1,1462.9,4298.2,2303.0,6029.6,8422.2,174.3,106.5,928.5,3056.7,2356.6,2614.1,4053.9,193.8,446.2,691.8,576.5,3271.1,1270.2,421.5,11762.4,129.2,254.9,19139.3,5813.7,423.7,3990.5,449.0,4735.4,141.0,363.5,4663.4,547.9,378.0,257.1,3839.3,2241.0,1441.8,1559.0,554.0,77.5,4095.6,5703.3,686.2,151.4,3181.6,103.1,576.4,1784.9,1333.9,1945.3,223.3,2168.8,2986.7,3336.5,282.6,202.9,2830.4,3346.6,2777.4,6061.7,5162.1,1277.7,876.4,437.9,471.7,6074.8,3430.1,1033.9,87.2,856.3,1635.4,983.8,22970.4,4081.4,423.9,2554.4,2201.1,299.4,7283.2,3173.8,2591.2,640.8,320.8,2333.3,4752.0,438.7,175.6,2920.2,671.6,331.1,1043.6,1068.2,126.1,10067.6,397.1,3853.0,898.5,2856.6,2037.9,2
77-0233-01,676.8,3254.1,782.7,2748.5,1338.9,2966.3,6950.7,296.1,109.5,765.4,4190.1,8208.4,1628.4,5431.0,277.2,1253.6,1141.9,521.4,2048.0,1715.8,391.6,3041.2,10442.6,312.7,268.9,12150.4,563.7,2442.6,534.9,2224.5,144.9,375.7,3996.7,1518.0,1608.7,185.4,5068.1,1115.1,1456.8,1455.3,297.6,101.5,2538.3,4435.9,1213.6,161.8,3421.1,4503.0,2047.5,2968.3,1536.4,1153.8,427.3,1563.7,2055.4,7342.0,284.0,220.9,2454.2,1050.5,2236.2,2651.5,1991.0,1711.2,696.3,2792.3,901.2,2852.0,1240.4,1156.7,91.1,822.9,517.8,1727.9,11394.7,3034.2,628.8,108.4,3147.2,261.3,2711.1,2767.8,443.9,537.4,288.5,3496.5,3996.6,1169.8,190.4,3104.9,1482.0,408.7,971.3,2783.6,146.5,8218.5,435.9,2501.0,682.5,1288.5,2684.0,0
77-0233-07,644.4,1664.2,1242.6,2365.8,641.8,5231.6,7039.1,370.5,141.1,745.1,5124.1,8877.1,1461.9,3957.4,264.4,1261.8,870.0,529.8,3146.0,631.4,254.0,2220.4,1575.0,350.0,297.0,11685.3,577.2,2322.2,751.6,2439.1,152.8,376.7,3720.0,1177.5,1774.0,304.6,3642.2,2476.1,863.2,763.3,566.6,201.2,1250.0,2538.9,1489.3,139.0,2046.8,627.2,2683.5,3034.1,1711.0,991.8,406.4,950.5,1191.1,2670.3,261.2,182.3,1477.1,2628.8,1079.8,917.0,1012.5,2102.9,502.5,1630.2,1224.7,1069.7,1207.9,1079.7,101.8,1468.7,340.7,2263.3,2750.5,3532.2,630.4,115.0,3448.5,283.6,1305.5,3337.5,470.6,249.7,146.1,1963.5,1934.2,765.4,218.0,1957.2,1690.0,516.4,1022.1,4198.4,116.8,2660.5,447.5,2161.0,709.7,1312.0,6197.5,2
77-0234-02,865.1,4189.6,1142.0,4256.4,3192.4,3193.6,4898.5,347.8,160.0,800.5,1381.4,4905.0,2654.2,6008.9,213.6,471.8,1085.8,723.1,1417.4,2251.3,396.0,4228.4,1470.3,257.7,12623.9,1063.9,721.9,7576.1,334.9,1612.9,254.2,390.8,2539.4,2457.0,721.7,291.0,7247.1,1407.9,1326.0,1632.9,590.1,145.2,4326.2,4893.0,1188.2,331.7,3706.2,6196.1,827.9,3602.1,1217.3,1183.4,298.5,2471.5,1840.0,8582.8,270.0,254.1,3620.1,670.6,2644.2,8038.3,2740.3,1689.3,1202.9,482.7,428.9,14578.4,414.7,941.6,79.2,222.0,378.9,3697.0,27152.7,2481.4,1745.2,131.6,2974.4,319.8,8322.2,3110.9,413.8,418.1,446.2,1987.0,4482.3,430.0,174.7,2501.7,2493.8,425.3,953.9,12891.7,171.2,11352.3,562.2,3612.3,1104.3,3955.8,2110.7,0
77-0247-03,988.7,3549.0,909.8,7562.6,2833.1,15904.4,4316.5,337.3,111.7,1136.0,1940.8,8560.8,1204.9,2775.6,218.7,678.1,1476.2,502.4,2113.3,1453.8,375.7,2162.7,2284.8,236.1,10179.2,2786.1,656.9,1198.4,510.0,2254.9,171.3,561.8,3891.4,1024.4,1533.2,272.6,4551.8,1616.2,1159.6,1223.2,559.0,123.4,1976.5,4256.6,1946.1,193.8,3487.6,912.8,1669.4,4070.4,1567.0,831.3,694.9,1602.2,1728.7,9942.0,894.8,549.3,2217.5,2282.8,1525.8,9158.6,1949.0,2485.4,1248.3,717.1,802.1,9194.6,10188.3,1314.0,106.9,211.7,358.5,2250.0,21622.4,2787.8,590.0,128.7,4209.3,348.7,7917.6,3108.5,491.3,394.3,392.4,1368.2,2951.8,472.4,170.5,2376.1,1369.6,448.5,739.2,3440.5,330.6,13679.6,452.1,2530.8,1660.1,2396.0,3070.3,0
126-0047-01,392.4,677.2,666.3,5017.3,1179.4,5456.1,3865.7,576.9,391.8,784.8,1837.7,5648.6,942.6,1098.5,507.4,378.9,330.3,396.9,580.2,1107.6,252.4,2933.0,829.5,420.7,267.6,1725.4,431.6,13928.9,505.3,2038.5,462.1,1595.6,1564.6,716.2,1539.1,298.4,15990.3,1837.6,404.1,672.5,347.5,135.7,1527.6,1136.0,1027.5,287.7,894.7,2248.1,1202.5,1153.3,1001.7,3859.2,277.9,978.5,1257.0,2195.9,936.6,488.2,704.4,1383.5,352.8,2017.3,405.7,1544.3,743.0,322.5,458.9,2580.9,656.8,319.5,256.9,310.9,276.8,808.8,8037.8,4347.6,1217.5,673.1,4521.1,259.6,1213.9,1159.1,639.1,321.6,199.4,713.4,724.7,225.8,446.8,13472.6,1075.0,304.7,1041.6,568.2,100.1,1574.4,451.7,1708.9,562.0,1074.7,1048.2,0
126-0047-02,433.2,1023.9,765.4,5096.6,1218.2,7458.7,3471.3,586.2,368.0,659.5,1896.1,6637.6,729.0,769.3,498.1,344.3,335.6,384.7,583.6,1151.4,246.5,1764.6,592.5,419.6,266.2,1824.3,431.0,13394.7,518.9,1983.9,459.0,1578.8,1358.7,688.5,1677.7,280.8,16138.9,2166.0,593.5,916.8,338.4,144.4,1954.7,1538.0,993.3,278.0,1028.7,1849.1,991.6,1190.2,1016.1,4179.2,292.9,1118.9,1366.0,2351.0,864.2,484.5,834.5,765.6,469.7,2076.6,530.6,1515.7,4349.7,312.4,487.3,2319.8,620.4,324.6,243.1,652.1,283.6,787.4,8315.9,3330.1,1192.2,669.5,4270.3,313.3,1325.3,981.0,575.4,382.0,200.8,769.0,935.0,233.6,442.5,12354.6,1429.9,321.0,1010.4,742.3,104.0,1754.4,447.5,2524.3,505.4,1103.8,1410.0,2
77-0041-02,533.0,2856.1,1128.8,3141.9,942.5,11444.2,4244.9,249.5,152.2,778.0,2517.0,8843.4,1541.2,4627.0,196.6,433.4,702.3,558.9,2535.9,556.6,238.6,2193.7,221.2,240.3,146.9,2252.7,727.6,3181.9,545.0,3168.2,146.0,502.6,3171.9,1213.3,1217.2,247.8,5180.3,2106.7,1402.3,1058.7,517.8,4111.3,2655.2,3181.2,1363.0,136.1,4712.6,4012.7,1736.2,3796.8,1615.0,1232.2,495.9,1408.0,2947.2,1025.7,332.6,264.2,3128.2,493.6,2482.0,2424.8,2070.9,1793.6,613.6,1020.7,1854.9,1402.5,412.3,1170.1,240.9,703.3,316.5,1866.3,6192.4,2598.4,417.6,222.8,2929.8,310.3,4501.5,2488.9,445.7,910.1,695.3,4593.2,5084.2,597.3,166.4,1711.2,1399.1,487.5,718.7,2993.7,375.4,3034.3,424.5,4198.7,1043.3,3224.7,679.8,0
