111-0035-01,-3387.652260649559,86691.05977709671,-23514.82032374827,-36338.5952050447,34598.370914354426,62155.69271607729,11233.774509167473,-29818.436167466374,-33374.39598046209,14590.514848375586,4800.419285400196,-6032.457099601944,2354.1997772304285,11485.66431893154,1
111-0044-01,195400.61779665874,-81756.97383381151,-36245.04872546239,-17812.94169933831,17863.42582504333,-37315.49783119004,-12564.15097519292,-11657.46216151356,-24999.03596926703,29024.56878444786,1334.3753917593763,-1627.2909528147393,20115.178748147144,761.9256753291198,1
111-049-01,131776.3932421792,94857.8576559332,87160.67979263086,82133.50454404969,6690.3134087077515,-8370.120964367276,56056.79990973495,4729.615230668136,3447.540440632011,1594.5412044820853,-4971.547579691263,-117.03659824275645,-6899.57576686753,-1602.9151307458822,1
126-0005-01,-23585.643905968842,-50569.525091409734,-24709.207066779698,33895.28687251332,26933.20719371438,9292.9593725071,943.9890004435945,-2526.7827582870436,-13155.740280333452,-8653.103459769198,-34782.01108531596,-35455.77524653966,-20163.38395801643,-6112.501816624927,0
126-0017-02,118364.14171659984,-19214.09506082281,-13459.304246155,-80553.19671995557,-13524.128747165347,45616.71489198122,19791.750154439083,16544.996649317887,32179.136623161456,-27204.457678116887,25277.09796547136,-7946.775645019057,-21428.017574145637,-10979.593840871466,2
77-0155-01,-56211.501331674684,7831.145799534948,32800.68830007425,-45008.54744473378,-16130.256364723547,35209.6748797112,27614.338545441693,-9855.241555998502,-3137.4264256431397,17942.37021341063,-23438.067113641144,-15635.309565079784,24239.410927560413,-13668.80308037071,0
126-0021-02,-57923.25060376167,-80958.5085556388,44060.257723493036,25651.664657969715,28091.567949708697,4429.464986874961,72.72318933846894,5583.727442197131,19513.223809049763,8337.6494251176,20150.16274417295,-23633.299538208517,-1153.8410151552362,-1573.5180378214748,2
77-0249-05,-32621.374080534963,-81916.41981974062,36677.56425824462,31179.080696514367,30350.492140523762,14340.70380201711,-7401.519450219328,2148.143858329906,12979.245938788696,5279.249558226731,21205.669671723033,-4383.768082849139,13122.868389255089,6840.753371255082,0
126-0029-02,-31853.585763418287,-16313.63223797258,-58142.37358243782,5240.910818084488,10893.195471805633,-15440.640066072461,35165.82317612397,55217.39490267809,-29025.127825663418,-12042.926081486481,-10882.027288167483,17463.259432491795,2406.8668145426354,-30578.87838680859,1
126-0044-01,-14147.502515209497,82894.98315665987,-7115.394916085579,-47057.21101664099,43172.78104268483,-35990.25138976196,-23612.947381989296,33194.57729648069,11971.887514030825,10978.691871782803,-823.5803332474138,1749.3939660164187,-2449.7063543792647,22958.263281920517,1
126-0048-01,-28643.355169586936,39810.758229276136,-75477.82692053662,15420.487405230831,-1645.7316826183435,-36873.51616988523,32558.92457817694,-36974.43134158104,45270.07400209201,-19400.145008915344,4938.75855005358,-265.16534206715403,29958.55851380676,-5354.5261487912785,1
