Sample Id,43264,52984,52603,52610,52611,37752,39609,38276,48691,43343,37253,61698,17945,52282,34383,33419,62952,62924,35635,61871,32397,22053,63358,62557,22001,31943,27672,46548,32445,43507,12032,15736,37475,44620,63597,63072,1669,43592,46146,63612,48442,61769,63230,37185,37190,37200,37196,62955,1107,18362,57514,15778,43265,54923,3141,32586,47886,43807,40605,48782,53254,32489,40007,37112,34396,38178,18368,1868,57520,62276,32388,61864,48407,42420,63152,15765,47112,48715,62104,52473,61881,61874,61876,53,62065,52974,42574,31912,52234,46957,35436,22138,40473,35322,40008,53010,40045,57463,37059,48696,15586,18374,1584,62819,63151,1585,48187,47101,594,52944,1361,62071,32553,1444,35432,1898,32452,31932,48990,62485,42370,43378,21151,1516,2342,34445,37058,48454,2125,33983,62890,32807,62889,36850,39378,35669,18394,604,52436,1299,54910,63853,57517,Target
111-0006-01,0.6834,1.7953,1.0,0.8543,1.0003,0.9591,1.0271,1.692,7.8803,7.2897,6.2409,1.0568,0.6165,8.376,1.0709,2.4989,1.1564,0.8202,1.3529,8.19,0.4976,2.7451,2.7085,1.1882,1.8076,0.3064,2.3792,0.4405,1.4984,2.9507,0.2368,0.3285,0.6857,0.9004,1.0294,4.0002,2.6055,0.7172,0.3491,1.4166,2.0794,0.3818,3.3288,1.7941,1.042,4.0111,2.2132,0.1151,0.154,0.0129,1.3622,0.3599,0.8493,0.4616,1.2876,1.3427,1.4819,1.514,0.8064,0.4367,1.4302,1.439,0.6987,0.8867,2.1392,0.5403,1.5907,1.0188,0.5687,3.2238,2.9569,1.0,0.5432,11.0667,0.9561,3.1478,0.2692,0.59,1.4062,0.5293,0.2005,0.7024,0.2322,2.003,1.2755,2.2401,1.505,1.1935,0.3059,0.4015,1.5206,0.9059,0.7988,4.167,0.2236,1.7716,0.0518,0.9881,0.1736,0.79,1.5846,0.6509,0.6363,0.824,0.0611,0.1334,2.2147,0.3273,0.3614,1.1232,0.3949,0.9982,0.7698,0.2489,2.5225,2.5422,1.9081,0.1561,2.896,0.3898,0.0425,0.1821,7.1904,2.6272,1.2825,0.4136,0.3914,0.6686,1.2839,0.4917,0.3367,1.4055,0.9026,0.1362,3.1289,0.1041,0.9224,0.6277,3.1417,0.6618,0.4923,0.1894,0.4379,1
111-0007-01,1.0017,3.9493,0.7268,1.379,1.4243,1.2864,1.8518,0.2624,0.2928,0.302,2.0573,1.3689,1.1897,1.1768,1.7671,1.0,0.516,1.4284,1.433,0.6324,1.0,1.854,1.0912,3.0535,1.1043,1.3902,1.2868,0.7487,7.7349,2.1774,0.2368,0.3285,1.2963,0.773,2.3125,52.7786,0.2568,3.0733,1.5436,0.806,1.0169,0.442,1.4586,3.9475,4.2356,3.7094,3.0615,0.0312,0.154,0.0341,0.9519,1.8641,1.1743,1.8592,2.0501,2.8713,3.0955,3.8889,0.5836,0.4455,5.5005,0.4961,0.4687,0.8657,5.4999,0.854,0.4859,1.7168,0.7082,1.3634,1.1604,0.9157,0.5501,4.1036,0.7237,0.9219,0.0607,0.2838,1.5771,1.6007,0.0595,2.3956,2.2367,0.4855,0.3284,3.8308,0.4669,0.6751,0.066,0.4015,3.4606,0.7738,0.2993,0.9964,0.4624,0.2939,0.0518,1.62,0.5745,0.8165,0.8253,1.7956,0.3798,0.6613,0.9837,1.0204,0.2851,0.8503,0.9103,0.6994,0.542,0.7687,2.9902,1.1428,2.0417,0.9123,1.2376,0.1561,1.3927,0.3898,0.6019,0.1821,2.8192,1.7225,0.9775,1.3422,0.6214,1.2306,0.3838,0.3021,0.3224,0.2597,0.1634,0.1362,0.8177,1.8266,0.7917,39.9809,0.9124,0.6816,0.8611,0.921,0.5641,1
111-0014-01,0.7736,0.0857,0.1616,0.9799,0.8813,2.4813,1.9767,0.2624,0.0805,0.1585,0.6757,0.4889,1.9171,0.6317,1.447,0.5353,1.4846,0.8265,0.2238,0.1248,0.1311,5.0071,1.6959,0.7257,0.2663,11.2818,0.1087,2.7495,0.3419,0.406,9.4721,23.8538,0.2377,0.4905,1.0621,0.5597,0.1695,2.6719,1.2144,0.2035,0.0718,0.2029,3.6564,2.38,2.606,6.946,5.6596,0.0312,0.154,1.0113,1.0244,0.3599,0.9599,1.1385,0.9484,1.0005,1.0,1.05,0.8964,0.8481,0.6138,0.5235,0.4687,0.7108,0.0923,0.4081,0.7817,0.7933,0.3817,0.8352,0.9014,1.325,1.0163,0.0381,0.6832,0.6809,0.0607,0.6711,0.4963,0.3713,5.0,0.2356,0.6986,0.3528,0.3816,0.2089,1.0397,1.1061,1.4211,0.4015,0.2108,0.69,0.6568,0.1782,0.7304,2.8878,0.0518,0.7096,0.1736,0.5943,0.607,2.9805,7.4138,6.108,0.0611,0.1864,0.3161,3.869,1.6755,0.4903,1.3227,1.0378,6.973,1.1846,2.0594,0.771,2.3985,0.1561,1.3553,0.3898,0.1652,1.8354,1.6403,0.29,0.4633,2.9351,0.1034,0.4776,0.4363,1.7081,1.5592,0.8684,3.0873,1.6314,2.1151,0.2408,1.192,0.324,1.2815,0.1933,0.2153,0.1389,1.8496,1
111-0018-03,0.7223,0.2808,1.0786,0.7516,0.8463,0.7405,13.3284,0.2624,0.3683,0.424,3.0942,1.1345,1.0258,1.7506,5.2473,0.5588,0.6008,0.7163,0.8103,1.951,1.0914,1.6391,1.4013,1.0,1.2975,2.4735,0.3448,6.2344,1.5564,2.6718,0.2368,0.3285,1.1174,1.7372,0.8174,0.3163,0.7033,1.2604,0.6737,0.5499,0.6008,1.3141,1.6461,1.3102,1.5913,1.0813,0.7731,0.0312,2.0466,0.0775,0.8979,0.3599,2.0169,0.8763,6.0137,4.735,5.1237,8.0691,0.7549,0.5272,0.4729,6.9513,0.4687,0.7991,1.572,4.0205,1.268,0.8064,2.3753,5.4279,3.4224,0.9199,0.9016,0.3188,0.8449,1.6851,2.4513,0.5889,0.788,0.7756,0.2708,0.7258,0.5969,0.6041,2.1646,0.9099,2.1895,2.9577,0.7166,0.4015,0.8153,0.9277,0.6368,2.0892,2.1135,0.2939,0.0518,4.557,0.3185,0.7431,1.5234,1.8995,2.1809,2.4882,0.4256,4.2184,1.1312,1.3608,0.3614,0.883,4.4446,0.7065,1.0706,3.055,1.5865,2.6551,2.8937,0.1561,9.6243,0.3898,1.417,1.0436,3.5246,3.3554,0.4825,1.3282,1.0472,1.1278,1.933,0.4828,0.2152,0.5079,0.1634,0.4105,1.3925,2.117,1.0496,0.3227,1.3855,1.0962,1.2033,0.6195,4.881,1
111-0022-01,0.7038,15.9592,0.6103,0.6575,1.0211,1.054,5.6354,0.2624,0.6385,0.6964,0.6046,1.2371,1.3282,3.348,0.6738,2.5445,0.5864,1.1702,1.1044,1.1587,1.7769,0.6559,1.0,2.5737,0.5997,0.5986,7.5022,2.3193,0.4723,3.5578,0.2368,0.3285,0.9424,39.8713,3.0737,0.4862,0.538,2.9696,1.6933,0.4479,1.0923,0.41,1.4187,6.9614,4.0262,2.8023,2.824,0.0312,0.154,0.0123,0.8727,0.3599,1.0221,0.4249,1.0843,1.0003,1.191,1.2563,0.9087,0.7872,1.0599,3.2616,0.4687,0.996,0.28,1.27,1.2452,0.6481,0.3817,1.6039,0.5971,0.7907,0.492,3.0774,0.6627,1.7962,5.9887,0.7568,0.5547,0.6464,9.6851,1.055,0.8905,1.4882,0.451,0.2089,0.7022,0.3987,6.2737,0.4015,0.5426,1.0006,1.8494,0.7142,33.3091,0.8389,0.0518,0.5367,2.5522,1.1472,0.5213,0.3878,0.3874,0.3885,1.7267,0.22,1.2522,0.2366,0.6351,0.716,0.5856,2.6049,1.4247,0.6762,1.9941,1.1744,2.0505,0.1561,3.1068,0.3898,0.5626,0.1821,0.5923,1.8003,1.0225,1.8747,1.9806,0.9475,0.1078,1.1123,0.671,0.3499,0.1634,4.0914,1.2996,1.7867,1.2634,6.724,1.25,1.0663,2.5494,2.0227,1.5054,1
111-0025-01,3.1152,0.091,1.2062,1.3448,1.3403,1.561,1.3167,0.789,0.39,0.3259,1.44,0.8552,2.3076,0.6304,2.7607,2.0251,1.2274,0.1617,0.2238,0.1322,1.7422,0.7657,2.1335,0.1275,1.6029,0.6492,0.1087,0.1208,2.5549,2.1063,0.2368,0.3285,0.4661,0.4772,0.1319,0.4764,0.6835,0.9344,0.581,1.652,0.6182,0.8786,0.7788,0.7984,0.6136,1.1463,0.2422,0.0312,0.154,0.0123,0.792,0.3599,0.7717,1.146,0.7631,1.0536,0.7502,0.6418,2.443,0.9117,0.183,1.3641,0.4687,9.9811,3.871,1.3125,0.6153,1.0143,0.8464,1.4831,1.8621,0.8401,0.547,0.231,2.4256,0.7547,0.3914,1.3311,0.3433,1.5026,0.0595,0.7264,0.091,1.7831,1.776,0.2089,6.5896,3.3161,1.4459,1.8325,0.9065,35.6577,0.7887,0.3279,0.2332,0.6871,0.0518,2.3036,1.0628,1.6633,0.9627,0.5539,1.8408,0.3198,0.3505,0.1334,1.239,0.6452,0.6276,1.2464,1.2618,1.403,3.0315,0.0598,1.2726,0.4005,0.5182,0.1561,0.182,0.3898,0.1324,4.8445,2.7278,1.9377,4.1502,1.6278,1.4895,0.276,0.9407,1.7729,2.6564,1.4087,1.4771,0.969,2.1752,0.729,1.0814,1.5559,1.1811,1.5974,0.1703,0.8976,0.4216,1
111-0026-01,0.7438,0.5947,0.4416,0.573,0.6349,0.3161,3.3802,1.0792,2.7377,3.5883,1.276,1.9093,1.1645,0.2929,1.2458,0.2308,1.6054,0.1617,0.2238,0.3194,0.9487,0.9546,0.6112,0.3338,2.0126,1.3098,0.4922,0.6263,1.7038,0.6401,0.2368,0.3285,1.6024,8.7685,1.1768,4.3662,1.774,1.2771,1.7349,0.8488,0.5071,1.421,2.3831,0.31,1.0738,0.6417,0.2422,8.1112,0.5178,0.8973,1.3254,1.3427,1.1291,1.6093,1.2095,1.6146,1.5312,2.0716,0.9778,1.8043,0.2118,1.0714,0.4687,0.8234,0.3732,0.6958,1.287,1.0128,0.3817,0.9502,0.5299,1.8167,1.7908,4.4336,1.2868,0.3129,0.6608,1.1779,0.3433,1.0086,0.1748,0.2356,0.091,0.6394,3.4638,2.0131,3.399,4.3515,0.7412,0.4015,0.8512,1.3488,1.5399,0.3395,1.6843,0.2939,0.0518,2.9367,1.4046,0.7849,0.7624,1.5317,0.9698,3.2701,2.8671,0.4086,0.7732,1.6031,1.2342,1.0659,5.1839,1.2624,1.6376,0.084,0.5004,2.0969,0.8848,0.1561,0.4453,0.3898,0.0809,2.3224,0.8661,0.8229,0.729,1.7627,1.1742,23.3783,2.6783,0.4201,0.5078,0.8136,0.1634,0.2989,0.4211,1.8889,1.0977,0.7178,1.6089,0.1933,0.4906,0.3203,2.8833,1
126-0017-02,1.0,6.6154,2.3175,4.0425,3.7544,1.5215,0.3309,0.2624,3.2862,4.6736,2.9909,0.4811,4.05,1.0,0.2931,1.7012,1.0,1.069,0.9537,10.1503,0.2214,0.1839,0.1221,1.5789,1.0844,63.2153,3.1243,2.6361,0.1759,1.5603,0.2368,0.3285,0.7602,0.8086,0.829,0.3745,1.1658,0.7367,0.1544,0.4894,0.4365,0.2029,0.2889,0.5793,0.628,0.9356,0.2422,0.0312,0.5223,0.0123,0.8757,0.3599,1.436,1.3723,0.6353,1.0848,1.1575,1.2997,1.1896,3.7424,0.183,1.2516,0.4687,0.9218,0.3542,1.3535,1.3726,0.6278,0.3817,0.8408,0.427,1.4342,0.5342,0.0381,1.4521,0.7346,0.3752,1.0568,0.8018,1.655,9.9518,0.2356,1.9485,1.2729,0.2495,0.2089,4.2053,0.8201,3.0962,0.4015,0.6361,1.1121,0.5497,7.6906,10.2322,0.2939,0.0518,1.2285,12.8649,1.303,11.6624,7.2131,0.7087,0.2986,1.8424,1.9682,0.4002,21.4837,0.5991,1.4778,6.1318,0.3506,0.2164,0.6299,0.9114,1.1165,2.2838,0.1561,1.3596,0.3898,0.9758,2.1386,2.7682,1.2922,0.8061,11.9423,2.8307,2.6174,0.1078,2.3685,2.6775,1.0172,0.1634,2.328,0.6784,1.0332,1.0908,0.7407,0.4175,0.8668,30.584,20.5957,1.1032,2
77-0155-01,0.703,0.2619,3.982,3.5803,3.2732,1.0279,0.5444,0.2624,0.1396,0.1933,2.1111,1.3422,0.3745,0.2929,0.8612,3.5439,3.5084,1.0767,0.3372,8.7716,0.5359,0.4601,1.2961,0.9936,0.8832,55.7568,0.248,1.9497,0.1492,1.6596,0.9792,1.0258,0.3247,1.5971,2.6557,0.4353,0.1778,0.828,1.0,2.2807,1.0,30.2558,0.2404,1.3299,1.2173,0.5585,0.2582,0.0353,0.154,0.0123,0.9827,2.0873,0.9008,1.3005,1.0013,0.9997,0.9258,1.0889,0.7825,1.0579,11.0806,0.5997,0.4687,1.1044,0.2163,1.4629,0.1729,1.1076,0.4457,0.5553,1.2035,1.3648,0.7241,0.0381,1.1032,0.3129,2.7117,2.1088,0.3732,0.8038,17.2107,0.9257,0.7225,2.1406,0.5321,0.2089,0.5275,2.4849,1.7353,0.9167,6.6609,0.8101,0.215,7.1892,2.9783,0.2939,0.0518,0.8906,0.1736,0.7188,0.9431,8.0808,23.0704,0.7509,1.0163,0.1364,0.2274,27.3488,0.7453,1.0164,1.4828,0.5669,0.5136,0.775,0.8088,0.2106,0.5183,25.3185,1.7633,0.3898,0.1716,1.6923,2.4062,0.8977,1.4488,11.0487,0.3203,0.9692,0.3691,1.7707,1.663,1.2541,0.1634,2.0756,0.9789,0.5151,1.0387,0.3399,0.4086,2.8422,3.9956,6.7978,0.5303,0
